energy,protein,carbs,sugar,added_sugar,fat,sat_fat,trans_fat,fiber,sodium,msg,sweeteners,artificial_colors,processed_oils,ultra_processed,score
251.0,4.1,26.0,21.9,16.8,14.5,8.7,0.4,0,46.0,0,0,0,0,1,70
557.0,6.0,57.3,43.0,43.0,33.7,20.4,0.0,0,0.0,0,0,0,0,1,35
206.0,3.5,21.8,21.7,14.8,11.7,7.0,0.4,0,49.0,0,0,0,0,0,100
425.4,13.5,68.1,0.0,0.0,0.0,3.6,0.0,0,206.5,0,0,0,0,0,100
390.0,3.9,45.5,37.7,37.4,22.5,22.2,0.04,0,24.3,0,0,0,0,0,55
553.0,8.7,52.4,46.1,37.1,35.1,22.5,0.2,0,140.0,0,0,0,0,0,50
386.0,8.1,80.0,21.8,12.5,5.1,0.9,0.0,0,140.0,0,0,0,0,0,100
218.0,4.8,24.6,24.4,14.4,11.2,5.5,0.0,0,54.4,0,0,0,0,0,80
115.0,0.0,27.25,27.25,0.0,0.0,0.0,0.0,0,200.0,0,0,0,0,0,80
190.0,10.1,26.9,21.5,0.9,4.7,1.2,0.0,0,64.1,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
42.4,0.0,10.6,10.6,10.6,0.05,0.0,0.0,0,1.08,0,0,0,0,1,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,0,95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,2,1,75
2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,85
173.0,2.8,17.9,15.1,11.6,10.0,6.0,0.3,0,32.0,0,0,0,0,0,100
547.0,9.7,54.4,52.7,39.0,32.4,20.0,0.2,0,170.0,0,0,0,0,0,50
2.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,1,80
2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,80
389.0,8.0,79.3,21.7,9.7,5.9,1.0,0.0,0,131.0,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
244.0,4.0,29.2,22.0,22.0,12.8,6.4,0.4,0,47.0,0,0,0,0,0,85
299.5,4.0,36.0,35.2,22.4,15.5,10.7,0.2,0,34.0,0,0,0,0,1,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
28.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0,53.0,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,85
596.6,8.13,40.2,21.6,0.0,44.7,31.2,0.5,0,19.9,0,0,0,0,0,85
157.0,2.7,16.5,15.9,12.1,9.0,4.8,0.3,0,31.0,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
531.0,7.9,60.4,57.0,0.0,0.0,19.6,0.1,0,129.0,0,0,0,0,0,65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
400.0,11.3,64.6,6.3,2.8,10.7,4.1,0.0,0,1900.0,0,0,0,1,1,65
475.0,1.6,77.7,73.4,0.0,0.0,18.0,0.2,0,10.0,0,0,0,1,1,40
216.0,3.7,20.9,20.9,15.0,13.0,7.8,0.5,0,52.0,0,0,0,0,0,100
46.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0,57.0,0,0,0,0,0,100
143.0,4.4,32.1,7.4,0.0,0.7,0.1,0.0,0,0.0,0,0,0,0,0,100
251.0,4.1,26.0,22.6,17.5,14.5,7.3,0.4,0,46.0,0,0,0,0,0,65
229.0,0.0,57.0,55.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,1,60
410.9,12.0,68.3,0.0,0.0,10.0,2.9,0.0,0,5.4,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,1,1,65
61.0,1.1,12.3,4.5,4.5,0.7,0.2,0.0,0,0.5,0,0,0,0,0,100
516.0,7.7,63.6,51.6,43.0,25.8,17.5,0.1,0,236.0,0,0,0,0,0,50
149.8,2.7,0.0,18.03,13.9,7.4,0.0,0.28,0,41.4,0,0,0,0,0,100
46.0,0.0,10.9,10.9,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
28.0,0.0,7.0,6.9,6.7,0.0,0.0,0.0,0,38.0,0,0,0,0,0,100
551.0,10.4,53.6,46.9,0.0,0.0,16.8,0.1,0,104.0,0,0,0,0,0,70
48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
98.0,3.1,19.4,0.7,0.6,0.7,0.05,0.0,0,439.0,0,0,0,0,0,100
378.0,6.7,86.9,9.2,8.0,1.0,0.6,0.0,0,490.0,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,75
523.0,5.2,64.5,50.2,43.9,27.6,17.7,0.2,0,192.0,0,0,0,0,0,50
267.0,3.5,27.3,26.5,21.6,16.2,11.1,0.4,0,44.0,0,0,0,0,0,55
537.0,7.7,56.6,55.3,45.9,31.3,21.5,0.1,0,125.0,0,0,0,0,0,50
513.0,4.7,67.6,45.1,43.0,25.2,20.0,0.2,0,103.0,0,0,0,1,0,40
429.0,3.8,65.5,49.2,42.8,16.8,13.6,0.07,0,86.4,0,0,0,0,0,55
382.0,9.3,77.6,10.7,0.0,5.2,0.8,0.0,0,132.0,0,0,0,0,0,100
410.9,12.0,68.3,0.0,0.0,0.0,2.9,0.0,0,5.4,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,0,95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
475.0,6.0,57.3,0.0,0.0,33.7,20.4,0.0,0,0.0,0,0,0,0,1,70
242.0,3.9,24.1,16.9,13.4,16.1,9.1,0.2,0,27.0,0,0,0,0,0,100
400.0,6.5,82.9,30.0,28.5,5.1,0.6,0.0,0,430.0,0,0,0,0,0,65
156.0,3.0,16.0,15.0,10.0,9.0,5.0,0.0,0,33.0,0,0,0,0,0,100
275.0,5.9,21.9,19.7,14.2,18.7,7.6,0.4,0,90.0,0,0,0,0,0,100
531.0,7.9,60.4,57.0,0.0,0.0,19.6,0.1,0,129.0,0,0,0,0,0,65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
465.94,8.9,60.47,4.89,0.0,20.94,10.42,0.08,0,712.48,1,0,0,1,1,35
28.0,0.0,7.0,6.8,6.7,0.0,0.0,0.0,0,38.0,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,2,1,75
196.0,6.3,36.3,0.9,0.5,0.3,0.0,0.0,0,61.9,0,0,0,0,0,100
45.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
48.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
533.0,6.4,56.8,44.2,37.2,32.8,19.9,0.1,0,16.0,0,0,0,0,0,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
526.0,6.1,58.0,45.7,43.7,31.6,19.0,0.1,0,13.6,0,0,0,0,1,35
51.0,0.0,11.98,11.5,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,85
