energy,protein,carbs,sugar,added_sugar,fat,sat_fat,trans_fat,fiber,sodium,msg,sweeteners,colors,processed_oils,ultra_processed
376.0,7.4,84.3,20.1,14.6,2.5,0.7,0.0,6.0,224.0,0,0,0,0,0
2000.0,6.78,67.96,4.54,4.27,0.0,0.0,0.0,0.0,1876.31,0,0,0,0,0
28.0,0.0,6.9,6.8,6.8,0.0,0.0,0.0,0.0,24.0,0,0,0,0,0
432.0,7.0,72.0,30.5,30.0,14.0,4.8,0.0,5.0,300.0,0,0,0,0,0
560.0,9.7,52.7,46.7,38.1,35.2,19.1,0.1,0.0,104.0,0,0,0,0,0
0.0,6.3,49.2,44.3,42.2,0.0,0.0,0.0,0.0,11.0,0,0,0,0,0
277.0,3.7,24.5,17.2,13.6,16.2,10.8,0.3,0.0,31.0,0,0,0,0,0
3.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,0,0,0,0
0.0,9.4,61.2,2.1,0.0,20.9,9.5,0.2,3.0,1380.0,0,0,0,0,0
0.0,9.4,61.6,1.8,0.0,20.8,9.4,0.2,3.0,1280.0,0,0,0,0,0
44.0,3.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,8000.0,0,0,0,0,0
407.0,11.1,71.0,2.2,1.2,9.0,1.8,0.0,12.0,117.0,0,0,0,0,0
0.0,8.9,64.6,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
28.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,53.0,0,0,0,0,0
543.0,7.6,58.5,55.3,45.9,31.2,21.5,0.1,0.0,125.0,0,0,0,0,0
436.0,7.7,71.0,26.5,16.9,14.7,4.3,0.0,5.4,170.0,0,0,0,0,0
243.0,4.8,31.9,23.1,19.0,10.7,6.7,0.2,0.0,132.0,0,0,0,0,0
378.0,6.7,86.9,9.2,8.0,1.0,0.6,0.0,2.5,490.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
262.0,4.1,27.0,17.4,14.1,15.5,10.1,0.2,0.0,25.0,0,0,0,0,0
45.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,35.0,0,0,0,0,0
0.0,9.0,61.0,1.5,0.02,0.0,0.0,0.0,0.0,1250.0,0,0,0,0,0
0.0,9.01,69.9,4.81,3.72,0.0,0.0,0.0,0.0,1559.11,0,0,0,0,0
259.0,5.2,23.1,20.7,13.0,16.5,7.6,0.4,0.0,46.0,0,0,0,0,0
0.0,0.0,55.3,508.0,1.6,0.0,0.0,0.0,0.0,1242.0,0,0,0,0,0
28.5,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0,0,0,0,0
407.0,11.8,68.5,1.8,0.0,9.5,1.9,0.0,10.0,9500.0,0,0,0,0,0
3.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,0,0,0,0
203.0,2.9,20.0,16.4,13.5,12.5,8.1,0.23,1.5,45.0,0,0,0,0,0
464.0,9.6,59.7,14.6,0.0,19.9,0.0,0.0,0.0,528.0,0,0,0,0,0
0.0,12.6,66.5,1.7,0.0,0.0,0.0,0.0,0.0,9500.0,0,0,0,0,0
425.4,13.5,68.1,0.0,0.0,10.9,3.5,0.0,11.5,206.5,0,0,0,0,0
33.0,0.0,8.2,5.96,5.96,0.0,0.0,0.0,0.0,19.44,0,0,0,0,0
3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
444.0,7.7,71.4,26.9,19.0,15.5,6.8,0.0,6.0,227.0,0,0,0,0,0
224.5,3.3,18.9,18.4,13.25,15.08,9.2,0.28,0.5,45.5,0,0,0,0,0
545.0,5.5,60.7,51.1,51.1,31.2,27.1,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,12.83,4.13,0.08,0.0,0.0,0.0,34.6,0,0,0,0,0
194.0,6.8,41.7,0.9,0.5,0.3,0.0,0.0,0.4,65.6,0,0,0,0,0
0.0,9.0,62.6,3.0,1.6,0.0,0.0,0.0,0.0,1247.1,0,0,0,0,0
400.0,9.3,76.3,19.7,8.5,6.4,1.0,0.0,10.8,154.7,0,0,0,0,0
563.0,6.0,56.9,48.9,42.7,34.8,22.3,0.2,0.0,207.0,0,0,0,0,0
477.0,7.24,61.0,55.9,50.3,22.65,10.2,0.11,0.0,231.0,0,0,0,0,0
438.0,6.4,74.0,35.1,0.0,24.8,24.5,0.04,0.0,97.4,0,0,0,0,0
462.7,8.51,60.59,3.76,0.0,20.7,10.15,0.09,0.0,663.92,0,0,0,0,0
452.29,9.76,61.26,4.96,0.0,18.69,9.85,0.07,0.0,658.13,0,0,0,0,0
2000.0,8.2,67.1,8.5,8.4,0.0,0.0,0.0,0.0,2131.0,0,0,0,0,0
0.0,3.0,19.0,16.9,13.4,0.0,0.0,0.0,0.0,32.0,0,0,0,0,0
218.5,3.3,19.39,18.99,14.0,14.2,8.8,0.25,0.4,25.4,0,0,0,0,0
0.0,0.0,0.0,13.11,5.71,0.05,0.0,0.0,0.0,31.79,0,0,0,0,0
45.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
3.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0,0,0,0,0
0.0,10.1,66.0,3.4,1.3,0.0,0.0,0.0,0.0,1527.5,0,0,0,0,0
562.0,10.0,47.6,24.8,24.8,36.8,22.2,0.0,0.0,0.0,0,0,0,0,0
0.0,9.6,60.3,2.3,1.1,0.0,0.0,0.0,0.0,939.3,0,0,0,0,0
206.0,3.5,21.8,21.7,14.8,11.7,7.0,0.4,0.0,49.0,0,0,0,0,0
0.0,9.01,66.23,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
498.0,5.7,62.2,57.0,37.8,26.0,17.5,0.1,0.0,82.3,0,0,0,0,0
202.0,3.1,17.1,15.4,11.8,13.5,7.8,0.0,0.6,0.0,0,0,0,0,0
373.0,9.0,81.0,27.5,27.0,3.0,1.2,0.0,7.0,250.0,0,0,0,0,0
0.0,2.8,19.1,15.9,12.8,0.0,0.0,0.0,0.0,36.0,0,0,0,0,0
543.0,7.6,58.5,55.3,45.9,31.4,21.5,0.1,0.0,125.0,0,0,0,0,0
0.0,10.17,64.13,3.78,1.0,0.0,0.0,0.0,0.0,928.76,0,0,0,0,0
520.0,8.5,58.8,54.4,38.3,28.4,16.4,0.1,0.0,106.0,0,0,0,0,0
557.0,8.1,50.9,40.6,33.4,36.3,17.8,0.1,0.0,141.0,0,0,0,0,0
0.0,7.8,66.1,9.9,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,8.8,70.4,6.0,3.8,0.0,0.0,0.0,0.0,2089.0,0,0,0,0,0
127.0,2.6,16.3,11.3,11.3,5.8,4.3,0.16,0.0,42.0,0,0,0,0,0
372.4,12.6,67.6,1.8,0.0,8.0,1.3,0.0,10.2,9500.0,0,0,0,0,0
0.0,6.54,60.94,16.11,14.72,0.0,0.0,0.0,0.0,661.48,0,0,0,0,0
465.0,6.1,76.0,36.2,34.9,15.1,7.4,0.02,0.0,166.7,0,0,0,0,0
445.0,7.0,60.0,10.0,0.0,26.0,13.0,0.0,0.0,0.0,0,0,0,0,0
465.0,7.1,62.3,22.3,0.0,21.3,10.4,0.0,0.0,0.0,0,0,0,0,0
463.0,6.0,76.0,30.5,27.6,15.0,8.0,0.0,0.0,274.0,0,0,0,0,0
452.0,8.0,78.0,21.0,0.0,12.0,5.5,0.0,0.0,0.0,0,0,0,0,0
483.0,5.2,71.9,38.9,38.5,19.6,9.7,0.1,0.0,420.0,0,0,0,0,0
438.0,6.4,47.4,35.1,28.9,24.8,24.5,0.04,0.0,97.4,0,0,0,0,0
